7.6000e-02  1
7.6000e-02	4.1842e-04
7.7625e-02	4.2604e-04
7.9433e-02	4.3636e-04
8.1283e-02	4.4755e-04
8.3176e-02	4.5970e-04
8.5114e-02	4.7292e-04
8.7096e-02	4.8735e-04
8.9125e-02	5.0313e-04
9.1201e-02	5.2045e-04
9.3325e-02	5.3951e-04
9.5499e-02	5.6055e-04
9.7724e-02	5.8388e-04
1.0000e-01	6.0983e-04
1.0233e-01	6.3882e-04
1.0471e-01	6.7136e-04
1.0715e-01	7.0807e-04
1.0965e-01	7.4973e-04
1.1220e-01	7.9729e-04
1.1482e-01	8.5195e-04
1.1749e-01	9.1527e-04
1.2023e-01	9.8924e-04
1.2303e-01	1.0765e-03
1.2589e-01	1.1805e-03
1.2882e-01	1.3062e-03
1.3000e-01	1.3784e-03
1.3000e-01 1
