1.000000000e-03 1
1.000000000e-03	1.189421633e-05
4.713753134e+01	1.198790082e-05
4.994505116e+01	1.207827443e-05
5.291978736e+01	1.217398404e-05
5.607169938e+01	1.227611079e-05
5.941133985e+01	1.237825105e-05
6.294988990e+01	1.248163707e-05
6.669919663e+01	1.258759714e-05
7.067181274e+01	1.269744832e-05
7.488103858e+01	1.280342880e-05
7.934096666e+01	1.290788627e-05
8.406652886e+01	1.302351305e-05
8.907354639e+01	1.316347418e-05
9.437878278e+01	1.336297118e-05
1.000000000e+02	1.366372903e-05
1.000000000e+02 1
