1.00000e-3 1
1.00000e-3 1.88777e-3
1.14341e-3 1.47782e-3
1.37267e-3 1.07873e-3
1.58876e-3 8.15441e-4
1.86141e-3 6.38357e-4
2.12835e-3 5.17516e-4
2.40410e-3 4.34485e-4
2.74887e-3 3.52237e-4
3.14307e-3 2.95724e-4
3.68246e-3 2.95724e-4
4.31440e-3 2.95724e-4
4.99359e-3 2.95724e-4
6.06832e-3 3.06250e-4
7.28507e-3 3.06250e-4
8.85299e-3 3.06250e-4
1.03723e-2 3.06250e-4
1.24520e-2 3.17151e-4
1.47677e-2 3.52237e-4
1.83887e-2 3.91206e-4
2.31782e-2 4.05130e-4
2.74887e-2 4.19551e-4
3.30003e-2 4.34485e-4
3.96172e-2 4.65966e-4
4.64159e-2 4.99729e-4
5.77969e-2 5.35937e-4
7.37437e-2 5.74769e-4
9.18254e-2 6.16415e-4
1.15742e-1 6.61079e-4
1.45889e-1 7.34214e-4
1.83887e-1 7.87413e-4
2.28975e-1 8.74525e-4
2.88614e-1 9.37890e-4
3.68246e-1 1.00585e-3
4.52986e-1 1.07873e-3
5.77969e-1 1.15689e-3
7.28507e-1 1.24071e-3
9.18254e-1 1.28487e-3
1.17161e+0 1.24071e-3
1.44122e+0 1.15689e-3
1.68855e+0 1.11712e-3
2.10257e+0 1.24071e-3
2.46340e+0 1.37797e-3
2.88614e+0 1.53042e-3
3.03027e+0 1.58489e-3
3.03027e+0 1
