logth logp Brem_QRA_L1.5 Brem_QRA_L1.0 Brem_QRA_L2.0
-7.475 -1.975 0.0 0.0 0.0
-7.475 -1.925 0.0 0.0 0.0
-7.475 -1.875 0.0 0.0 0.0
-7.475 -1.825 0.0 0.0 0.0
-7.475 -1.775 0.0 0.0 0.0
-7.475 -1.725 0.0 0.0 0.0
-7.475 -1.675 0.0 0.0 0.0
-7.475 -1.625 0.0 0.0 0.0
-7.475 -1.575 0.0 0.0 0.0
-7.475 -1.525 0.0 0.0 0.0
-7.475 -1.475 0.0 0.0 0.0
-7.475 -1.425 0.0 0.0 0.0
-7.475 -1.375 0.0 0.0 0.0
-7.475 -1.325 0.0 0.0 0.0
-7.475 -1.275 0.0 0.0 0.0
-7.475 -1.225 0.0 0.0 0.0
-7.475 -1.175 0.0 0.0 0.0
-7.475 -1.125 0.0 0.0 0.0
-7.475 -1.075 0.0 0.0 0.0
-7.475 -1.025 0.0 0.0 0.0
-7.475 -0.975 0.0 0.0 0.0
-7.475 -0.925 0.0 0.0 0.0
-7.475 -0.875 0.0 0.0 0.0
-7.475 -0.825 0.0 0.0 0.0
-7.475 -0.775 0.0 0.0 0.0
-7.475 -0.725 0.0 0.0 0.0
-7.475 -0.675 0.0 0.0 0.0
-7.475 -0.625 0.0 0.0 0.0
-7.475 -0.575 0.0 0.0 0.0
-7.475 -0.525 0.0 0.0 0.0
-7.475 -0.475 0.0 0.0 0.0
-7.475 -0.425 0.0 0.0 0.0
-7.475 -0.375 0.0 0.0 0.0
-7.475 -0.325 0.0 0.0 0.0
-7.475 -0.275 0.0 0.0 0.0
-7.475 -0.225 0.0 0.0 0.0
-7.475 -0.175 0.0 0.0 0.0
-7.475 -0.125 0.0 0.0 0.0
-7.475 -0.075 0.0 0.0 0.0
-7.475 -0.025 0.0 0.0 0.0
-7.475 0.025 0.0 0.0 0.0
-7.475 0.075 0.0 0.0 0.0
-7.475 0.125 0.0 0.0 0.0
-7.475 0.175 0.0 0.0 0.0
-7.475 0.225 0.0 0.0 0.0
-7.475 0.275 0.0 0.0 0.0
-7.475 0.325 0.0 0.0 0.0
-7.475 0.375 0.0 0.0 0.0
-7.475 0.425 0.0 0.0 0.0
-7.475 0.475 0.0 0.0 0.0
-7.475 0.525 0.0 0.0 0.0
-7.475 0.575 0.0 0.0 0.0
-7.475 0.625 0.0 0.0 0.0
-7.475 0.675 0.0 0.0 0.0
-7.475 0.725 0.0 0.0 0.0
-7.475 0.775 0.0 0.0 0.0
-7.475 0.825 0.0 0.0 0.0
-7.475 0.875 2.0795214261387256e-17 8.113990835400311e-19 2.077160711964521e-16
-7.475 0.925 4.151389226160901e-17 1.6198129799446618e-18 4.146668583019561e-16
-7.475 0.975 8.288033829876e-17 3.233875701457685e-18 8.278589437523362e-16
-7.475 1.025 1.6547827450002074e-16 6.45673971622619e-18 1.652892087103783e-15
-7.475 1.075 3.304195009840499e-16 1.2892542778241137e-17 3.300407260911227e-15
-7.475 1.125 6.598266427753033e-16 2.5745630482149394e-17 6.590670917438944e-15
-7.475 1.175 1.3177660026284556e-15 5.1417736908959075e-17 1.3162411183181437e-14
-7.475 1.225 2.632063633141003e-15 1.0270043231920178e-16 2.628997860484271e-14
-7.475 1.275 5.257873196112133e-15 2.0515756828738843e-16 5.251698551883326e-14
-7.475 1.325 1.0504761356805786e-14 4.0988835077333814e-16 1.0492298124142641e-13
-7.475 1.375 2.0990953028654908e-14 8.190567607848845e-16 2.0965729166514762e-13
-7.475 1.425 4.195236284655761e-14 1.6369724365129199e-15 4.1901145971634446e-13
-7.475 1.475 8.386261840802177e-14 3.2723312807185535e-15 8.375820843014734e-13
-7.475 1.525 1.6767899600824874e-13 6.5429324191413805e-15 1.674651222620274e-12
-7.475 1.575 3.353504854419468e-13 1.308575901817521e-14 3.349098570795506e-12
-7.475 1.625 6.708762119876696e-13 2.6178828238357315e-14 6.699622009305464e-12
-7.475 1.675 1.3425291030177086e-12 5.2389155838049846e-14 1.3406179173966793e-11
-7.475 1.725 2.687566817203624e-12 1.0487921566033191e-13 2.6835334820877802e-11
-7.475 1.775 5.382293057902534e-12 2.1004543185604534e-13 5.3736914398942316e-11
-7.475 1.825 1.078371156503077e-11 4.2085649848612906e-13 1.0765151828962817e-10
-7.475 1.875 2.1616464882011268e-11 8.436757196775201e-13 2.157590443536189e-10
-7.475 1.925 4.335525240341524e-11 1.6922492168394492e-12 4.3265397308942457e-10
-7.475 1.975 8.700962870085143e-11 3.39648753367065e-12 8.68077285481336e-10
-7.475 2.025 1.7474001912053678e-10 6.821907375549573e-12 1.7427977941851897e-09
-7.475 2.075 3.5119723586388874e-10 1.371288178438704e-11 3.5013301117520453e-09
-7.475 2.125 7.064495287534637e-10 2.7589262343679588e-11 7.039544069932393e-09
-7.475 2.175 1.4224073208800934e-09 5.556303559545414e-11 1.4164801189639529e-08
-7.475 2.225 2.8669823594206197e-09 1.1202570441505059e-10 2.852729116342562e-08
-7.475 2.275 5.785405567500652e-09 2.2614778952621198e-10 5.7507444935258975e-08
-7.475 2.325 1.168971979626174e-08 4.571654443511485e-10 1.1604571026945786e-07
-7.475 2.375 2.3653413752369325e-08 9.256167216401421e-10 2.3442318334567246e-07
-7.475 2.425 4.7936340801785694e-08 1.8773429198998394e-09 4.740870956619286e-07
-7.475 2.475 9.731563367724335e-08 3.8150182433027865e-09 9.598713191175368e-07
-7.475 2.525 1.9793154452477862e-07 7.769352565062255e-09 1.945645177702953e-06
-7.475 2.575 4.0339571348040076e-07 1.586031988847828e-08 3.948115700466842e-06
-7.475 2.625 8.239478040956187e-07 3.246317970036174e-08 8.019460350283037e-06
-7.475 2.675 1.6868810743047017e-06 6.664149365009528e-08 1.6302193285793818e-05
-7.475 2.725 3.462111199718089e-06 1.372475557259197e-07 3.3155718114967336e-05
-7.475 2.775 7.1237613414240795e-06 2.836681844556646e-07 6.743408111495055e-05
-7.475 2.825 1.4696186251892298e-05 5.885848195685176e-07 0.00013706102735989382
-7.475 2.875 3.039511718825936e-05 1.2264491596447773e-06 0.0002781282887790503
-7.475 2.925 6.301255959995395e-05 2.5673208695466007e-06 0.0005627268332219903
-7.475 2.975 0.0001308918133883786 5.400570339472682e-06 0.0011331669413091386
-7.475 3.025 0.0002722579941601131 1.1419468010000134e-05 0.0022657152691913647
-7.475 3.075 0.0005664846613970379 2.427608724190064e-05 0.004484374584139383
-7.475 3.125 0.0011772416931890124 5.188652323919098e-05 0.008752037972824244
-7.475 3.175 0.0024380296351127237 0.00011147828260198563 0.016764359451066496
-7.475 3.225 0.005015728920626275 0.00024063069403406864 0.03134353331503441
-7.475 3.275 0.010206363144045721 0.0005212891350283855 0.05685115772645768
-7.475 3.325 0.020425194855085354 0.0011313466595324446 0.09940380534842727
-7.475 3.375 0.039909853627209904 0.0024529366708968465 0.16653970345485836
-7.475 3.425 0.07548879263727196 0.005291424055706025 0.2660170379535868
-7.475 3.475 0.1369473928271112 0.011293999885398635 0.4038552742379384
-7.475 3.525 0.236330334778595 0.023694078189469198 0.5827164737052103
-7.475 3.575 0.3864988427349536 0.048574228370472164 0.8033581198303691
-7.475 3.625 0.6033035188395948 0.09729827438516189 1.0746494590224607
-7.475 3.675 0.9241812529991678 0.19332581853431316 1.4427273494007737
-7.475 3.725 1.466032190625034 0.39537227270383285 2.0568534130199243
-7.475 3.775 2.5372279135857156 0.8615676787043445 3.2800499795731173
-7.475 3.825 4.516970861347276 1.859157421865121 5.5030590006314695
-7.475 3.875 0.0 0.0 0.0
-7.475 3.925 0.0 0.0 0.0
-7.475 3.975 0.0 0.0 0.0
-7.425 -1.975 0.0 0.0 0.0
-7.425 -1.925 0.0 0.0 0.0
-7.425 -1.875 0.0 0.0 0.0
-7.425 -1.825 0.0 0.0 0.0
-7.425 -1.775 0.0 0.0 0.0
-7.425 -1.725 0.0 0.0 0.0
-7.425 -1.675 0.0 0.0 0.0
-7.425 -1.625 0.0 0.0 0.0
-7.425 -1.575 0.0 0.0 0.0
-7.425 -1.525 0.0 0.0 0.0
-7.425 -1.475 0.0 0.0 0.0
-7.425 -1.425 0.0 0.0 0.0
-7.425 -1.375 0.0 0.0 0.0
-7.425 -1.325 0.0 0.0 0.0
-7.425 -1.275 0.0 0.0 0.0
-7.425 -1.225 0.0 0.0 0.0
-7.425 -1.175 0.0 0.0 0.0
-7.425 -1.125 0.0 0.0 0.0
-7.425 -1.075 0.0 0.0 0.0
-7.425 -1.025 0.0 0.0 0.0
-7.425 -0.975 0.0 0.0 0.0
-7.425 -0.925 0.0 0.0 0.0
-7.425 -0.875 0.0 0.0 0.0
-7.425 -0.825 0.0 0.0 0.0
-7.425 -0.775 0.0 0.0 0.0
-7.425 -0.725 0.0 0.0 0.0
-7.425 -0.675 0.0 0.0 0.0
-7.425 -0.625 0.0 0.0 0.0
-7.425 -0.575 0.0 0.0 0.0
-7.425 -0.525 0.0 0.0 0.0
-7.425 -0.475 0.0 0.0 0.0
-7.425 -0.425 0.0 0.0 0.0
-7.425 -0.375 0.0 0.0 0.0
-7.425 -0.325 0.0 0.0 0.0
-7.425 -0.275 0.0 0.0 0.0
-7.425 -0.225 0.0 0.0 0.0
-7.425 -0.175 0.0 0.0 0.0
-7.425 -0.125 0.0 0.0 0.0
-7.425 -0.075 0.0 0.0 0.0
-7.425 -0.025 0.0 0.0 0.0
-7.425 0.025 0.0 0.0 0.0
-7.425 0.075 0.0 0.0 0.0
-7.425 0.125 0.0 0.0 0.0
-7.425 0.175 0.0 0.0 0.0
-7.425 0.225 0.0 0.0 0.0
-7.425 0.275 0.0 0.0 0.0
-7.425 0.325 0.0 0.0 0.0
-7.425 0.375 0.0 0.0 0.0
-7.425 0.425 0.0 0.0 0.0
-7.425 0.475 0.0 0.0 0.0
-7.425 0.525 0.0 0.0 0.0
-7.425 0.575 0.0 0.0 0.0
-7.425 0.625 0.0 0.0 0.0
-7.425 0.675 0.0 0.0 0.0
-7.425 0.725 0.0 0.0 0.0
-7.425 0.775 0.0 0.0 0.0
-7.425 0.825 0.0 0.0 0.0
-7.425 0.875 2.6179623677363843e-17 1.0214909253750026e-18 2.6149904046724955e-16
-7.425 0.925 5.226289391062222e-17 2.0392237228062693e-18 5.220346453451578e-16
-7.425 0.975 1.0434016402239974e-16 4.071208299148512e-18 1.0422126616708288e-15
-7.425 1.025 2.0832480486791044e-16 8.12855370609717e-18 2.0808678514082865e-15
-7.425 1.075 4.1597350634112723e-16 1.623074972616954e-17 4.154966570030717e-15
-7.425 1.125 8.306725279685583e-16 3.2411828456636363e-17 8.297163098735634e-15
-7.425 1.175 1.6589691075071232e-15 6.473109561162534e-17 1.6570493918988256e-14
-7.425 1.225 3.313571793219838e-15 1.2929218404886464e-16 3.3097122141154946e-14
-7.425 1.275 6.619270178575349e-15 2.582780761388268e-16 6.61149676204692e-14
-7.425 1.325 1.3224711016912062e-14 5.160188607867961e-16 1.3209020736599333e-13
-7.425 1.375 2.642604418554105e-14 1.0311313698535034e-15 2.639428922450924e-13
-7.425 1.425 5.281489567231477e-14 2.0608261987317104e-15 5.275041744696133e-13
-7.425 1.475 1.0557678141339041e-13 4.1196210051029845e-15 1.054453370389995e-12
-7.425 1.525 2.1109534909875208e-13 8.237063890102533e-15 2.108260980047187e-12
-7.425 1.575 4.2218124797996117e-13 1.647399456057925e-14 4.216265297373841e-12
-7.425 1.625 8.445831114384412e-13 3.29571921202219e-14 8.434324396919695e-12
-7.425 1.675 1.690144003859584e-12 6.595403958686273e-14 1.6877379637146187e-11
-7.425 1.725 3.3834461620657547e-12 1.3203510976357285e-13 3.3783684939941485e-11
