logth logp Brem_QRA_L1.5 Brem_FWW Brem_QRA_L2.0 Brem_QRA_L1.0
-7.475 -1.975 0.0 5.068903773028806e-09 0.0 0.0
-7.475 -1.925 0.0 6.570425727868803e-09 0.0 0.0
-7.475 -1.875 0.0 8.481037593038693e-09 0.0 0.0
-7.475 -1.825 0.0 1.0905555675334358e-08 0.0 0.0
-7.475 -1.775 0.0 1.3975555808039437e-08 0.0 0.0
-7.475 -1.725 0.0 1.7856433924359297e-08 0.0 0.0
-7.475 -1.675 0.0 2.2756293151987783e-08 0.0 0.0
-7.475 -1.625 0.0 2.8937114602107782e-08 0.0 0.0
-7.475 -1.575 0.0 3.67287944311245e-08 0.0 0.0
-7.475 -1.525 0.0 4.654678719064146e-08 0.0 0.0
-7.475 -1.475 0.0 5.891429180420889e-08 0.0 0.0
-7.475 -1.425 0.0 7.449016144805626e-08 0.0 0.0
-7.475 -1.375 0.0 9.410402514278216e-08 0.0 0.0
-7.475 -1.325 0.0 1.1880049358815344e-07 0.0 0.0
-7.475 -1.275 0.0 1.4989480554951153e-07 0.0 0.0
-7.475 -1.225 0.0 1.89042880003293e-07 0.0 0.0
-7.475 -1.175 0.0 2.3832950589779642e-07 0.0 0.0
-7.475 -1.125 0.0 3.0037936670850084e-07 0.0 0.0
-7.475 -1.075 0.0 3.7849681238977326e-07 0.0 0.0
-7.475 -1.025 0.0 4.768418215290377e-07 0.0 0.0
-7.475 -0.975 0.0 6.006515228873425e-07 0.0 0.0
-7.475 -0.925 0.0 7.565190704900121e-07 0.0 0.0
-7.475 -0.875 0.0 9.527447189069342e-07 0.0 0.0
-7.475 -0.825 0.0 1.1997777875118331e-06 0.0 0.0
-7.475 -0.775 0.0 1.5107730383534129e-06 0.0 0.0
-7.475 -0.725 0.0 1.902291078411151e-06 0.0 0.0
-7.475 -0.675 0.0 2.3951800560976117e-06 0.0 0.0
-7.475 -0.625 0.0 3.0156855594804075e-06 0.0 0.0
-7.475 -0.575 0.0 3.7968477494279834e-06 0.0 0.0
-7.475 -0.525 0.0 4.780260014710531e-06 0.0 0.0
-7.475 -0.475 0.0 6.0182826212091765e-06 0.0 0.0
-7.475 -0.425 0.0 7.576828951033632e-06 0.0 0.0
-7.475 -0.375 0.0 9.538872251315891e-06 0.0 0.0
-7.475 -0.325 0.0 1.200885891537238e-05 0.0 0.0
-7.475 -0.275 0.0 1.5118262172567727e-05 0.0 0.0
-7.475 -0.225 0.0 1.9032570125133576e-05 0.0 0.0
-7.475 -0.175 0.0 2.396007739513692e-05 0.0 0.0
-7.475 -0.125 0.0 3.0162944016512666e-05 0.0 0.0
-7.475 -0.075 0.0 3.7971103291094285e-05 0.0 0.0
-7.475 -0.025 0.0 4.779974784260284e-05 0.0 0.0
-7.475 0.025 0.0 6.017130700342466e-05 0.0 0.0
-7.475 0.075 0.0 7.574305732526675e-05 0.0 0.0
-7.475 0.125 0.0 9.534179134429606e-05 0.0 0.0
-7.475 0.175 0.0 0.00012000731929396592 0.0 0.0
-7.475 0.225 0.0 0.0001510470072651424 0.0 0.0
-7.475 0.275 0.0 0.0001901040773914523 0.0 0.0
-7.475 0.325 0.0 0.0002392430249499881 0.0 0.0
-7.475 0.375 0.0 0.0003010562556255258 0.0 0.0
-7.475 0.425 0.0 0.000378796919514048 0.0 0.0
-7.475 0.475 0.0 0.0004765439103937959 0.0 0.0
-7.475 0.525 0.0 0.0005994060802507636 0.0 0.0
-7.475 0.575 0.0 0.0007537738213248642 0.0 0.0
-7.475 0.625 0.0 0.0009476271566795524 0.0 0.0
