1.00000e-3 3.32106e-3
1.15698e-3 2.79775e-3
1.35496e-3 2.29986e-3
1.54872e-3 1.93747e-3
1.79184e-3 1.59268e-3
2.04807e-3 1.30925e-3
2.39854e-3 1.07625e-3
2.80898e-3 9.06665e-4
3.41178e-3 7.45316e-4
4.14395e-3 6.27874e-4
5.09476e-3 5.42054e-4
6.41782e-3 4.56641e-4
8.08447e-3 3.94225e-4
1.00609e-2 3.57430e-4
1.26737e-2 3.08576e-4
1.59649e-2 2.73005e-4
2.01108e-2 2.41534e-4
2.44266e-2 2.18991e-4
3.03983e-2 1.98551e-4
3.87606e-2 1.75663e-4
4.76541e-2 1.59268e-4
6.00294e-2 1.44402e-4
7.65429e-2 1.30925e-4
9.18461e-2 1.21648e-4
1.12920e-1 1.10294e-4
1.43983e-1 1.02480e-4
1.81374e-1 9.29148e-5
2.31268e-1 8.63317e-5
2.84332e-1 8.22041e-5
3.58170e-1 7.63798e-5
4.79445e-1 7.09682e-5
6.18809e-1 6.59400e-5
7.70094e-1 6.27874e-5
9.70080e-1 5.55496e-5
1.20724e+0 4.91461e-5
1.44860e+0 4.34808e-5
1.73822e+0 3.84686e-5
2.08575e+0 3.32106e-5
2.44266e+0 3.01109e-5
2.72494e+0 2.79775e-5
3.00312e+0 2.59952e-5
