1.00000e-3 2.27727e-8
1.18561e-3 2.19890e-8
1.45792e-3 2.12323e-8
1.77109e-3 1.91148e-8
2.12552e-3 1.78218e-8
2.55088e-3 1.72084e-8
3.06137e-3 1.72084e-8
3.58573e-3 1.72084e-8
4.19990e-3 1.72084e-8
5.04040e-3 1.84569e-8
6.12311e-3 1.97960e-8
7.90474e-3 2.12323e-8
9.48665e-3 2.35843e-8
1.08445e-2 2.52954e-8
1.25485e-2 2.61970e-8
1.48777e-2 2.90990e-8
1.72153e-2 3.12102e-8
2.11692e-2 3.46676e-8
2.63496e-2 3.71828e-8
3.20097e-2 4.13019e-8
3.88856e-2 4.58772e-8
4.84015e-2 5.27756e-8
5.87985e-2 5.86220e-8
7.23028e-2 6.51161e-8
8.78339e-2 7.23295e-8
1.06701e-1 8.32055e-8
1.26506e-1 9.24229e-8
1.53681e-1 1.02661e-7
1.84436e-1 1.18098e-7
2.18670e-1 1.31181e-7
2.68892e-1 1.50906e-7
3.42935e-1 1.79785e-7
4.42718e-1 2.21824e-7
5.71534e-1 2.64273e-7
7.28914e-1 3.14846e-7
9.29629e-1 3.62189e-7
1.17128e+0 4.02312e-7
1.47575e+0 4.31500e-7
1.95206e+0 4.62806e-7
2.34271e+0 4.96384e-7
2.77755e+0 5.32397e-7
3.02436e+0 5.51372e-7
