logth logp Brem_QRA_L2.0 Brem_QRA_L1.0 Brem_QRA_L1.5
-7.475 -1.975 0.0 0.0 0.0
-7.475 -1.925 0.0 0.0 0.0
-7.475 -1.875 0.0 0.0 0.0
-7.475 -1.825 0.0 0.0 0.0
-7.475 -1.775 0.0 0.0 0.0
-7.475 -1.725 0.0 0.0 0.0
-7.475 -1.675 0.0 0.0 0.0
-7.475 -1.625 0.0 0.0 0.0
-7.475 -1.575 0.0 0.0 0.0
-7.475 -1.525 0.0 0.0 0.0
-7.475 -1.475 0.0 0.0 0.0
-7.475 -1.425 0.0 0.0 0.0
-7.475 -1.375 0.0 0.0 0.0
-7.475 -1.325 0.0 0.0 0.0
-7.475 -1.275 0.0 0.0 0.0
-7.475 -1.225 0.0 0.0 0.0
-7.475 -1.175 0.0 0.0 0.0
-7.475 -1.125 0.0 0.0 0.0
-7.475 -1.075 0.0 0.0 0.0
-7.475 -1.025 0.0 0.0 0.0
-7.475 -0.975 0.0 0.0 0.0
-7.475 -0.925 0.0 0.0 0.0
-7.475 -0.875 0.0 0.0 0.0
-7.475 -0.825 0.0 0.0 0.0
-7.475 -0.775 0.0 0.0 0.0
-7.475 -0.725 0.0 0.0 0.0
-7.475 -0.675 0.0 0.0 0.0
-7.475 -0.625 0.0 0.0 0.0
-7.475 -0.575 0.0 0.0 0.0
-7.475 -0.525 0.0 0.0 0.0
-7.475 -0.475 0.0 0.0 0.0
-7.475 -0.425 0.0 0.0 0.0
-7.475 -0.375 0.0 0.0 0.0
-7.475 -0.325 0.0 0.0 0.0
-7.475 -0.275 0.0 0.0 0.0
-7.475 -0.225 0.0 0.0 0.0
-7.475 -0.175 0.0 0.0 0.0
-7.475 -0.125 0.0 0.0 0.0
-7.475 -0.075 0.0 0.0 0.0
-7.475 -0.025 0.0 0.0 0.0
-7.475 0.025 0.0 0.0 0.0
-7.475 0.075 0.0 0.0 0.0
-7.475 0.125 0.0 0.0 0.0
-7.475 0.175 0.0 0.0 0.0
-7.475 0.225 0.0 0.0 0.0
-7.475 0.275 0.0 0.0 0.0
-7.475 0.325 0.0 0.0 0.0
-7.475 0.375 0.0 0.0 0.0
-7.475 0.425 0.0 0.0 0.0
-7.475 0.475 0.0 0.0 0.0
-7.475 0.525 0.0 0.0 0.0
-7.475 0.575 0.0 0.0 0.0
-7.475 0.625 0.0 0.0 0.0
-7.475 0.675 0.0 0.0 0.0
-7.475 0.725 0.0 0.0 0.0
-7.475 0.775 0.0 0.0 0.0
-7.475 0.825 5.821317504819441e-16 2.2739802756466596e-18 5.827943207512584e-17
-7.475 0.875 1.1620350031042988e-15 4.539269927222684e-18 1.1633603268925324e-16
-7.475 0.925 2.3197493177490864e-15 9.061698490986637e-18 2.322401875049108e-16
-7.475 0.975 4.631158910554485e-15 1.8090911290252987e-17 4.636471681103044e-16
-7.475 1.025 9.246306521499363e-15 3.6119508241493516e-17 9.2569569273951e-16
-7.475 1.075 1.8462071502218536e-14 7.212029171487578e-17 1.848344586509535e-15
-7.475 1.125 3.6866345042638904e-14 1.4401626484722015e-16 3.69093003525849e-15
-7.475 1.175 7.362438476346981e-14 2.876131231915581e-16 7.371085726311873e-15
-7.475 1.225 1.470483457107425e-13 5.744525573022268e-16 1.4722278669895303e-14
-7.475 1.275 2.937317938490856e-13 1.1475029406227718e-15 2.9408460053983895e-14
-7.475 1.325 5.868136526883284e-13 2.29252552562807e-15 5.875294552498134e-14
-7.475 1.375 1.1725048563215252e-12 4.580813761066188e-15 1.1739627151011993e-13
-7.475 1.425 2.3431589761034707e-12 9.154769290637621e-15 2.346141969334391e-13
-7.475 1.475 4.6834920372961786e-12 1.8299435855286205e-14 4.689629735081736e-13
-7.475 1.525 9.36327661831337e-12 3.6586750668100857e-14 9.375989033868984e-13
-7.475 1.575 1.8723454459248277e-11 7.316735623337679e-14 1.8749989326670234e-12
-7.475 1.625 3.7450286826223805e-11 1.4636295712291898e-13 3.750617231601609e-12
-7.475 1.675 7.492855664343067e-11 2.928732519572966e-13 7.504746438904899e-12
-7.475 1.725 1.4996009001648207e-10 5.862449191716924e-13 1.502159872013768e-11
-7.475 1.775 3.002301163324495e-10 1.1739438742655944e-12 3.0078772030127265e-11
-7.475 1.825 6.013097464413777e-10 2.351822494633653e-12 6.025410397289276e-11
-7.475 1.875 1.204824689017316e-09 4.713821501875519e-12 1.2075815870187328e-10
-7.475 1.925 2.4151727615556128e-09 9.453183807136893e-12 2.421433241795024e-10
-7.475 1.975 4.843832234799271e-09 1.8969123720661784e-11 4.858249237056887e-10
-7.475 2.025 9.719966678716128e-09 3.809005261009915e-11 9.753620302482464e-10
-7.475 2.075 1.9516120369360614e-08 7.654298124435458e-11 1.9595693470241626e-09
-7.475 2.125 3.9209637946102277e-08 1.5394541995470378e-10 3.940004231264332e-09
-7.475 2.175 7.882770768623864e-08 3.099116770736944e-10 7.928829097184062e-09
-7.475 2.225 1.5858607072914042e-07 6.245474592326213e-10 1.597111517928682e-08
-7.475 2.275 3.1927154077309433e-07 1.2600871496427246e-09 3.2204380256594884e-08
-7.475 2.325 6.432305977172746e-07 2.545655692529185e-09 6.501142033893032e-08
-7.475 2.375 1.2968122126677744e-06 5.150202096671185e-09 1.314019910340447e-07
-7.475 2.425 2.6161958004861173e-06 1.0436176693005465e-08 2.6594659985680773e-07
-7.475 2.475 5.280874987079718e-06 2.1184763019503213e-08 5.390241941810026e-07
-7.475 2.525 1.066393716217109e-05 4.308723595465296e-08 1.0941598489492574e-06
-7.475 2.575 2.1537905223109145e-05 8.782115971020713e-08 2.2245515300524796e-06
-7.475 2.625 4.34924923736061e-05 1.7941629405223068e-07 4.530149400153952e-06
-7.475 2.675 8.77683796818458e-05 3.674734741373474e-07 9.24044108705134e-06
-7.475 2.725 0.00017688076351306609 7.547115041426473e-07 1.8878130041255543e-05
-7.475 2.775 0.0003556651058458004 1.5545798072672804e-06 3.862336311982728e-05
-7.475 2.825 0.0007126622150348529 3.2121806776915626e-06 7.91137756472775e-05
-7.475 2.875 0.0014206979874707077 6.65891883354021e-06 0.00016217267455068138
-7.475 2.925 0.0028117794103139286 1.3850312789044138e-05 0.0003324592477765495
-7.475 2.975 0.005510129698873884 2.8904200083448233e-05 0.0006809399476493037
-7.475 3.025 0.010656235892281792 6.051149583979156e-05 0.0013914888722016815
-7.475 3.075 0.020256750745947873 0.0001270360779822688 0.0028313941004722196
-7.475 3.125 0.03767323209524227 0.0002672578220998147 0.005721477726457228
-7.475 3.175 0.06819082785271055 0.0005628059186324072 0.011440664810067407
-7.475 3.225 0.11946513155779613 0.0011842854312879268 0.022532502217361534
-7.475 3.275 0.2014560521044284 0.002483742931442741 0.043454513933023964
-7.475 3.325 0.32534360651259714 0.005172716209794359 0.08147844813070844
-7.475 3.375 0.5011023676597314 0.010644348301721084 0.1473342908291375
-7.475 3.425 0.7341006390453058 0.021503438267150836 0.2547543753598108
-7.475 3.475 1.0223819659349458 0.04232885152235949 0.4180548211551948
-7.475 3.525 1.3583338493655879 0.08064437016102141 0.648657241859498
-7.475 3.575 1.741962579553247 0.14852261026673264 0.9568902869825665
-7.475 3.625 2.2192804317585 0.2681811463902814 1.3752979114951904
-7.475 3.675 2.967976178438106 0.49432866315081175 2.0308805509709518
-7.475 3.725 4.453014639950012 0.9813769453111824 3.2935211932426838
-7.475 3.775 7.619606772020927 2.113433832676674 5.973059474567486
-7.475 3.825 13.656871859014347 4.512110450243723 11.153493916915066
-7.475 3.875 0.0 0.0 0.0
-7.475 3.925 0.0 0.0 0.0
-7.475 3.975 0.0 0.0 0.0
-7.425 -1.975 0.0 0.0 0.0
-7.425 -1.925 0.0 0.0 0.0
-7.425 -1.875 0.0 0.0 0.0
-7.425 -1.825 0.0 0.0 0.0
-7.425 -1.775 0.0 0.0 0.0
-7.425 -1.725 0.0 0.0 0.0
-7.425 -1.675 0.0 0.0 0.0
-7.425 -1.625 0.0 0.0 0.0
-7.425 -1.575 0.0 0.0 0.0
-7.425 -1.525 0.0 0.0 0.0
-7.425 -1.475 0.0 0.0 0.0
-7.425 -1.425 0.0 0.0 0.0
-7.425 -1.375 0.0 0.0 0.0
-7.425 -1.325 0.0 0.0 0.0
-7.425 -1.275 0.0 0.0 0.0
-7.425 -1.225 0.0 0.0 0.0
-7.425 -1.175 0.0 0.0 0.0
-7.425 -1.125 0.0 0.0 0.0
-7.425 -1.075 0.0 0.0 0.0
-7.425 -1.025 0.0 0.0 0.0
-7.425 -0.975 0.0 0.0 0.0
-7.425 -0.925 0.0 0.0 0.0
-7.425 -0.875 0.0 0.0 0.0
-7.425 -0.825 0.0 0.0 0.0
-7.425 -0.775 0.0 0.0 0.0
-7.425 -0.725 0.0 0.0 0.0
-7.425 -0.675 0.0 0.0 0.0
-7.425 -0.625 0.0 0.0 0.0
-7.425 -0.575 0.0 0.0 0.0
-7.425 -0.525 0.0 0.0 0.0
-7.425 -0.475 0.0 0.0 0.0
-7.425 -0.425 0.0 0.0 0.0
-7.425 -0.375 0.0 0.0 0.0
-7.425 -0.325 0.0 0.0 0.0
-7.425 -0.275 0.0 0.0 0.0
-7.425 -0.225 0.0 0.0 0.0
-7.425 -0.175 0.0 0.0 0.0
-7.425 -0.125 0.0 0.0 0.0
-7.425 -0.075 0.0 0.0 0.0
-7.425 -0.025 0.0 0.0 0.0
-7.425 0.025 0.0 0.0 0.0
-7.425 0.075 0.0 0.0 0.0
-7.425 0.125 0.0 0.0 0.0
-7.425 0.175 0.0 0.0 0.0
-7.425 0.225 0.0 0.0 0.0
-7.425 0.275 0.0 0.0 0.0
-7.425 0.325 0.0 0.0 0.0
-7.425 0.375 0.0 0.0 0.0
-7.425 0.425 0.0 0.0 0.0
-7.425 0.475 0.0 0.0 0.0
-7.425 0.525 0.0 0.0 0.0
-7.425 0.575 0.0 0.0 0.0
-7.425 0.625 0.0 0.0 0.0
-7.425 0.675 0.0 0.0 0.0
-7.425 0.725 0.0 0.0 0.0
-7.425 0.775 0.0 0.0 0.0
-7.425 0.825 7.328604536939093e-16 2.8627715549301624e-18 7.336945802430485e-17
-7.425 0.875 1.462915394802236e-15 5.714602262373387e-18 1.4645838785980978e-16
-7.425 0.925 2.9203913651063087e-15 1.140800250431916e-17 2.9237307368975464e-16
-7.425 0.975 5.830283638553529e-15 2.277510794581153e-17 5.836972020404141e-16
-7.425 1.025 1.1640410245152423e-14 4.547176678672016e-17 1.1653818311780487e-15
-7.425 1.075 2.3242370968500708e-14 9.079406794585325e-17 2.3269279697087227e-15
-7.425 1.125 4.64119786141422e-14 1.8130573552781385e-16 4.64660561454047e-15
-7.425 1.175 9.268760890642364e-14 3.620834695512615e-16 9.279647133365296e-15
-7.425 1.225 1.8512289917749783e-13 7.231929222577241e-16 1.8534250737041455e-14
-7.425 1.275 3.6978641952837477e-13 1.4446206120580534e-15 3.70230576836815e-14
-7.425 1.325 7.387546193567787e-13 2.8861186413987296e-15 7.396557613912588e-14
-7.425 1.375 1.4760961590744475e-12 5.766902850499554e-15 1.4779314945389853e-13
-7.425 1.425 2.949862378888271e-12 1.1525171699088788e-14 2.9536177448698836e-13
-7.425 1.475 5.896167141682794e-12 2.3037624819697586e-14 5.903894045394936e-13
-7.425 1.525 1.1787666872440259e-11 4.6059990151000154e-14 1.1803670855428487e-12
-7.425 1.575 2.357143261528676e-11 9.211224407587043e-14 2.3604838034182805e-12
-7.425 1.625 4.714711776443357e-11 1.8426004606707056e-13 4.721747342768352e-12
-7.425 1.675 9.432946402727218e-11 3.687055793230491e-13 9.447916000988986e-12
-7.425 1.725 1.8878856807618233e-10 7.380386262784756e-13 1.891107235450519e-11
