logth logp Brem_QRA_L2.0 Brem_QRA_L1.0 Brem_QRA_L1.5
-7.475 -1.975 0.0 0.0 0.0
-7.475 -1.925 0.0 0.0 0.0
-7.475 -1.875 0.0 0.0 0.0
-7.475 -1.825 0.0 0.0 0.0
-7.475 -1.775 0.0 0.0 0.0
-7.475 -1.725 0.0 0.0 0.0
-7.475 -1.675 0.0 0.0 0.0
-7.475 -1.625 0.0 0.0 0.0
-7.475 -1.575 0.0 0.0 0.0
-7.475 -1.525 0.0 0.0 0.0
-7.475 -1.475 0.0 0.0 0.0
-7.475 -1.425 0.0 0.0 0.0
-7.475 -1.375 0.0 0.0 0.0
-7.475 -1.325 0.0 0.0 0.0
-7.475 -1.275 0.0 0.0 0.0
-7.475 -1.225 0.0 0.0 0.0
-7.475 -1.175 0.0 0.0 0.0
-7.475 -1.125 0.0 0.0 0.0
-7.475 -1.075 0.0 0.0 0.0
-7.475 -1.025 0.0 0.0 0.0
-7.475 -0.975 0.0 0.0 0.0
-7.475 -0.925 0.0 0.0 0.0
-7.475 -0.875 0.0 0.0 0.0
-7.475 -0.825 0.0 0.0 0.0
-7.475 -0.775 0.0 0.0 0.0
-7.475 -0.725 0.0 0.0 0.0
-7.475 -0.675 0.0 0.0 0.0
-7.475 -0.625 0.0 0.0 0.0
-7.475 -0.575 0.0 0.0 0.0
-7.475 -0.525 0.0 0.0 0.0
-7.475 -0.475 0.0 0.0 0.0
-7.475 -0.425 0.0 0.0 0.0
-7.475 -0.375 0.0 0.0 0.0
-7.475 -0.325 0.0 0.0 0.0
-7.475 -0.275 0.0 0.0 0.0
-7.475 -0.225 0.0 0.0 0.0
-7.475 -0.175 0.0 0.0 0.0
-7.475 -0.125 0.0 0.0 0.0
-7.475 -0.075 0.0 0.0 0.0
-7.475 -0.025 0.0 0.0 0.0
-7.475 0.025 0.0 0.0 0.0
-7.475 0.075 0.0 0.0 0.0
-7.475 0.125 0.0 0.0 0.0
-7.475 0.175 0.0 0.0 0.0
-7.475 0.225 0.0 0.0 0.0
-7.475 0.275 0.0 0.0 0.0
-7.475 0.325 0.0 0.0 0.0
-7.475 0.375 0.0 0.0 0.0
-7.475 0.425 0.0 0.0 0.0
-7.475 0.475 0.0 0.0 0.0
-7.475 0.525 0.0 0.0 0.0
-7.475 0.575 0.0 0.0 0.0
-7.475 0.625 0.0 0.0 0.0
-7.475 0.675 1.1555441459572791e-14 4.5142376022407924e-17 1.1569224233320923e-15
-7.475 0.725 2.3063050727751954e-14 9.009992534169933e-17 2.3090939330643423e-15
-7.475 0.775 4.603215794247936e-14 1.7983795603585232e-16 4.608877690377714e-15
-7.475 0.825 9.188013858331774e-14 3.5896922071313005e-16 9.199555130682296e-15
-7.475 0.875 1.8339990091343e-13 7.165627804870777e-16 1.836363100277387e-14
-7.475 0.925 3.6609615363246973e-13 1.4304575447205082e-15 3.6658323991431125e-14
-7.475 0.975 7.308215271105167e-13 2.8557631884861182e-15 7.318320287870613e-14
-7.475 1.025 1.4589790320761644e-12 5.701629854844654e-15 1.4610922849094937e-13
-7.475 1.075 2.9127935156251346e-12 1.1384368045438406e-14 2.917253784385883e-13
-7.475 1.125 5.815599563041766e-12 2.2732948545084266e-14 5.825111537240791e-13
-7.475 1.175 1.1611929578136166e-11 4.539874226273973e-14 1.163244813879907e-12
-7.475 1.225 2.3186753505061947e-11 9.067296640918605e-14 2.3231564320369336e-12
-7.475 1.275 4.630214542922211e-11 1.8111858647467493e-13 4.640128895197995e-12
-7.475 1.325 9.246705707688297e-11 3.61830519928534e-13 9.268935874506808e-12
-7.475 1.375 1.84669721352372e-10 7.229541007847077e-13 1.8517487034742075e-11
-7.475 1.425 3.6882768691062843e-10 1.4447297194793733e-12 3.699905967139699e-11
-7.475 1.475 7.366561696053934e-10 2.8876230579037062e-12 7.393665993316541e-11
-7.475 1.525 1.471333725958554e-09 5.772723574579558e-12 1.4777237500209394e-10
-7.475 1.575 2.9386676793967154e-09 1.1542940465664183e-11 2.9538896006642655e-10
-7.475 1.625 5.869022491300607e-09 2.308646120237874e-11 5.905617942359369e-10
-7.475 1.675 1.172017027281212e-08 4.6186386444122957e-11 1.1808855442346788e-09
-7.475 1.725 2.34004211324239e-08 9.24267016315151e-11 2.3616806311755574e-09
-7.475 1.775 4.6708225485847484e-08 1.8502034909241772e-10 4.72391941741921e-09
-7.475 1.825 9.31940061643815e-08 3.7050345170606206e-10 9.450294951003689e-09
-7.475 1.875 1.8583838628642318e-07 7.42212231405573e-10 1.8907702994860688e-08
-7.475 1.925 3.7028995074662295e-07 1.4874394889712659e-09 3.7832531209858545e-08
-7.475 1.975 7.370318946283919e-07 2.9822055520095013e-09 7.570065063963693e-08
-7.475 2.025 1.4649163184999098e-06 5.9818215602023245e-09 1.5146238757334322e-07
-7.475 2.075 2.9061820025207935e-06 1.2004262005489381e-08 3.0299116837805467e-07
-7.475 2.125 5.751276498028801e-06 2.410177090969294e-08 6.05906259434297e-07
-7.475 2.175 1.1345400503486961e-05 4.841439837426845e-08 1.210981047649813e-06
-7.475 2.225 2.228914037779368e-05 9.72984816834525e-08 2.4182476592562086e-06
-7.475 2.275 4.356067691696681e-05 1.9562658321175072e-07 4.823154564146461e-06
-7.475 2.325 8.457159136599399e-05 3.934696430683745e-07 9.60315200808297e-06
-7.475 2.375 0.0001628397649373369 7.916070913454695e-07 1.9075276841502033e-05
-7.475 2.425 0.0003103460226075326 1.5927694082655542e-06 3.7769930886243133e-05
-7.475 2.475 0.0005841009542268663 3.2043425008269053e-06 7.447107959587235e-05
-7.475 2.525 0.0010828346951551 6.443531473710396e-06 0.00014602501187410685
-7.475 2.575 0.0019716920767850516 1.2945221427079745e-05 0.0002842892267212304
-7.475 2.625 0.0035158101425835572 2.5967255020901424e-05 0.0005484359694741318
-7.475 2.675 0.006121075390824209 5.196523521002943e-05 0.0010458996189688429
-7.475 2.725 0.010376064296668605 0.00010363184658916597 0.0019662485716034662
-7.475 2.775 0.017084181759687383 0.00020565751454963515 0.0036323098070667717
-7.475 2.825 0.027271765742842034 0.0004053822802015157 0.00657033306688223
-7.475 2.875 0.04215921464807525 0.000791835418956643 0.011593632106057086
-7.475 2.925 0.06308881872238334 0.0015282098904850314 0.019880528259466273
-7.475 2.975 0.09141211878143715 0.0029037148369691268 0.03300966891722336
-7.475 3.025 0.128346604658768 0.005408756556299807 0.05290256789867369
-7.475 3.075 0.17481512183616266 0.009828546364908621 0.08162928777605115
-7.475 3.125 0.23128870594513687 0.017330503507221 0.12107281058833866
-7.475 3.175 0.2976818647421353 0.029493234105128316 0.17252590549934455
-7.475 3.225 0.3734231632205262 0.048214009557746386 0.2364073677163008
-7.475 3.275 0.45796906010059213 0.07549707186241332 0.31243182504781264
-7.475 3.325 0.5522554109938959 0.11334350502811406 0.4007549453809223
-7.475 3.375 0.6618412033532212 0.16434063297534277 0.504816214087867
-7.475 3.425 0.8026109542196307 0.23387149705231852 0.6366588917440952
-7.475 3.475 1.009479547034417 0.3346196810143443 0.8250491493182801
-7.475 3.525 1.3470828294529675 0.492626131769483 1.125239859367398
-7.475 3.575 1.9187857021752481 0.7515052052182223 1.6265747358912905
-7.475 3.625 2.867456329030617 1.168866647752533 2.451289755414943
-7.475 3.675 4.360398293808788 1.7992083309494487 3.7370090272175567
-7.475 3.725 6.551683795588616 2.6621707923379705 5.597081917097504
-7.475 3.775 9.503213272366985 3.6980785935418994 8.04496164948994
-7.475 3.825 12.822406832068857 4.643310916696646 10.687845547883805
-7.475 3.875 0.0 0.0 0.0
-7.475 3.925 0.0 0.0 0.0
-7.475 3.975 0.0 0.0 0.0
-7.425 -1.975 0.0 0.0 0.0
-7.425 -1.925 0.0 0.0 0.0
-7.425 -1.875 0.0 0.0 0.0
-7.425 -1.825 0.0 0.0 0.0
-7.425 -1.775 0.0 0.0 0.0
-7.425 -1.725 0.0 0.0 0.0
-7.425 -1.675 0.0 0.0 0.0
-7.425 -1.625 0.0 0.0 0.0
-7.425 -1.575 0.0 0.0 0.0
-7.425 -1.525 0.0 0.0 0.0
-7.425 -1.475 0.0 0.0 0.0
-7.425 -1.425 0.0 0.0 0.0
-7.425 -1.375 0.0 0.0 0.0
-7.425 -1.325 0.0 0.0 0.0
-7.425 -1.275 0.0 0.0 0.0
-7.425 -1.225 0.0 0.0 0.0
-7.425 -1.175 0.0 0.0 0.0
-7.425 -1.125 0.0 0.0 0.0
-7.425 -1.075 0.0 0.0 0.0
-7.425 -1.025 0.0 0.0 0.0
-7.425 -0.975 0.0 0.0 0.0
-7.425 -0.925 0.0 0.0 0.0
-7.425 -0.875 0.0 0.0 0.0
-7.425 -0.825 0.0 0.0 0.0
-7.425 -0.775 0.0 0.0 0.0
-7.425 -0.725 0.0 0.0 0.0
-7.425 -0.675 0.0 0.0 0.0
-7.425 -0.625 0.0 0.0 0.0
-7.425 -0.575 0.0 0.0 0.0
-7.425 -0.525 0.0 0.0 0.0
-7.425 -0.475 0.0 0.0 0.0
-7.425 -0.425 0.0 0.0 0.0
-7.425 -0.375 0.0 0.0 0.0
-7.425 -0.325 0.0 0.0 0.0
-7.425 -0.275 0.0 0.0 0.0
-7.425 -0.225 0.0 0.0 0.0
-7.425 -0.175 0.0 0.0 0.0
-7.425 -0.125 0.0 0.0 0.0
-7.425 -0.075 0.0 0.0 0.0
-7.425 -0.025 0.0 0.0 0.0
-7.425 0.025 0.0 0.0 0.0
-7.425 0.075 0.0 0.0 0.0
-7.425 0.125 0.0 0.0 0.0
-7.425 0.175 0.0 0.0 0.0
-7.425 0.225 0.0 0.0 0.0
-7.425 0.275 0.0 0.0 0.0
-7.425 0.325 0.0 0.0 0.0
-7.425 0.375 0.0 0.0 0.0
-7.425 0.425 0.0 0.0 0.0
-7.425 0.475 0.0 0.0 0.0
-7.425 0.525 0.0 0.0 0.0
-7.425 0.575 0.0 0.0 0.0
-7.425 0.625 0.0 0.0 0.0
-7.425 0.675 1.454743889795494e-14 5.683088432337261e-17 1.456479038207147e-15
-7.425 0.725 2.9034660634662117e-14 1.1342908561341168e-16 2.906977030554162e-15
-7.425 0.775 5.795105339350288e-14 2.2640257285862906e-16 5.802233244267006e-15
-7.425 0.825 1.1567024130169068e-13 4.519154740076394e-16 1.1581553731215579e-14
-7.425 0.875 2.30886795780405e-13 9.020990935008945e-16 2.3118441722198795e-14
-7.425 0.925 4.608877509679061e-13 1.8008393535409024e-15 4.615009562658524e-14
-7.425 0.975 9.20049791965369e-13 3.595192848050413e-15 9.21321938204631e-14
-7.425 1.025 1.8367457787548347e-12 7.177926712905465e-15 1.8394062064482585e-13
-7.425 1.075 3.666989776127981e-12 1.4332070229612977e-14 3.6726049218143173e-13
-7.425 1.125 7.321406074727876e-12 2.86190866083984e-14 7.333380940763352e-13
-7.425 1.175 1.4618553225868754e-11 5.715363029801311e-14 1.4644384563300702e-12
-7.425 1.225 2.919039320450181e-11 1.141505015751731e-13 2.9246806678615436e-12
-7.425 1.275 5.829094750136617e-11 2.2801479106093084e-13 5.8415761801580605e-12
-7.425 1.325 1.1640912790773184e-10 4.55517636300031e-13 1.1668898912689381e-11
-7.425 1.375 2.3248540499900185e-10 9.10145289036918e-13 2.331213499056094e-11
-7.425 1.425 4.643265476239289e-10 1.8188069570224335e-12 4.657905643269754e-11
-7.425 1.475 9.273951716683572e-10 3.6353020472666593e-12 9.308074005276155e-11
-7.425 1.525 1.8522994168319121e-09 7.2674284032735315e-12 1.8603439805059853e-10
-7.425 1.575 3.6995634183928595e-09 1.4531701078981519e-11 3.718726681892785e-10
-7.425 1.625 7.3886615566449185e-09 2.9064132675897468e-11 7.434732499938486e-10
