logth logp Brem_QRA_L2.0 Brem_QRA_L1.5 Brem_QRA_L1.0
-7.475 -1.975 0.0 0.0 0.0
-7.475 -1.925 0.0 0.0 0.0
-7.475 -1.875 0.0 0.0 0.0
-7.475 -1.825 0.0 0.0 0.0
-7.475 -1.775 0.0 0.0 0.0
-7.475 -1.725 0.0 0.0 0.0
-7.475 -1.675 0.0 0.0 0.0
-7.475 -1.625 0.0 0.0 0.0
-7.475 -1.575 0.0 0.0 0.0
-7.475 -1.525 0.0 0.0 0.0
-7.475 -1.475 0.0 0.0 0.0
-7.475 -1.425 0.0 0.0 0.0
-7.475 -1.375 0.0 0.0 0.0
-7.475 -1.325 0.0 0.0 0.0
-7.475 -1.275 0.0 0.0 0.0
-7.475 -1.225 0.0 0.0 0.0
-7.475 -1.175 0.0 0.0 0.0
-7.475 -1.125 0.0 0.0 0.0
-7.475 -1.075 0.0 0.0 0.0
-7.475 -1.025 0.0 0.0 0.0
-7.475 -0.975 0.0 0.0 0.0
-7.475 -0.925 0.0 0.0 0.0
-7.475 -0.875 0.0 0.0 0.0
-7.475 -0.825 0.0 0.0 0.0
-7.475 -0.775 0.0 0.0 0.0
-7.475 -0.725 0.0 0.0 0.0
-7.475 -0.675 0.0 0.0 0.0
-7.475 -0.625 0.0 0.0 0.0
-7.475 -0.575 0.0 0.0 0.0
-7.475 -0.525 0.0 0.0 0.0
-7.475 -0.475 0.0 0.0 0.0
-7.475 -0.425 0.0 0.0 0.0
-7.475 -0.375 0.0 0.0 0.0
-7.475 -0.325 0.0 0.0 0.0
-7.475 -0.275 0.0 0.0 0.0
-7.475 -0.225 0.0 0.0 0.0
-7.475 -0.175 0.0 0.0 0.0
-7.475 -0.125 0.0 0.0 0.0
-7.475 -0.075 0.0 0.0 0.0
-7.475 -0.025 0.0 0.0 0.0
-7.475 0.025 0.0 0.0 0.0
-7.475 0.075 0.0 0.0 0.0
-7.475 0.125 0.0 0.0 0.0
-7.475 0.175 0.0 0.0 0.0
-7.475 0.225 0.0 0.0 0.0
-7.475 0.275 0.0 0.0 0.0
-7.475 0.325 0.0 0.0 0.0
-7.475 0.375 0.0 0.0 0.0
-7.475 0.425 0.0 0.0 0.0
-7.475 0.475 0.0 0.0 0.0
-7.475 0.525 0.0 0.0 0.0
-7.475 0.575 0.0 0.0 0.0
-7.475 0.625 0.0 0.0 0.0
-7.475 0.675 0.0 0.0 0.0
-7.475 0.725 0.0 0.0 0.0
-7.475 0.775 0.0 0.0 0.0
-7.475 0.825 0.0 0.0 0.0
-7.475 0.875 0.0 0.0 0.0
-7.475 0.925 4.232034827065768e-17 4.236836685438812e-18 1.6531510481094168e-19
-7.475 0.975 8.448892165189053e-17 8.458490698840002e-18 3.3003797866349e-19
-7.475 1.025 1.686866724782322e-16 1.6887861507813104e-17 6.589401803862196e-19
-7.475 1.075 3.368185001966765e-16 3.372025154010479e-17 1.3157170466008997e-18
-7.475 1.125 6.725884445953365e-16 6.733571946098045e-17 2.627348358450105e-18
-7.475 1.175 1.3432158103392472e-15 1.3447558869719515e-16 5.247061889751986e-18
-7.475 1.225 2.682812393096381e-15 2.685900520501582e-16 1.0480050710982016e-17
-7.475 1.275 5.35906140573625e-15 5.3652606195148e-16 2.093462573229231e-17
-7.475 1.325 1.0706501438671364e-14 1.0718963240797255e-15 4.182426482653188e-17
-7.475 1.375 2.1393119147054412e-14 2.1418213046339464e-15 8.357189026152682e-17
-7.475 1.425 4.2753970197961456e-14 4.28046074006411e-15 1.670203331210996e-16
-7.475 1.475 8.546015634585008e-14 8.556260192122585e-15 3.338605657939162e-16
-7.475 1.525 1.708621846246842e-13 1.7107010094437285e-14 6.675106087553356e-16
-7.475 1.575 3.416918295107251e-13 3.42115427121083e-14 1.3349358592131973e-15
-7.475 1.625 6.835058560505394e-13 6.843728936362094e-14 2.6704544980547607e-15
-7.475 1.675 1.3676752334392568e-12 1.3694598567863227e-13 5.343767378925235e-15
-7.475 1.725 2.7376159154443577e-12 2.741313669385099e-13 1.0697058207610085e-14
-7.475 1.775 5.481864620543339e-12 5.489586423174579e-13 2.1421731946466548e-14
-7.475 1.825 1.0981704572465824e-11 1.0997976177802649e-12 4.2918002889858264e-14
-7.475 1.875 2.2009916925971213e-11 2.204456107489014e-12 8.602864054369534e-14
-7.475 1.925 4.413652185030363e-11 4.421114282702898e-12 1.725409319813653e-13
-7.475 1.975 8.85595177291623e-11 8.872230489965129e-12 3.4627167886934487e-13
-7.475 2.025 1.7781111737821605e-10 1.7817113263385852e-11 6.954269976158023e-13
-7.475 2.075 3.5727375501161695e-10 3.58081473118979e-11 1.3977647491611886e-12
-7.475 2.125 7.184506359748059e-10 7.202896839519935e-11 2.811949896671343e-12
-7.475 2.175 1.4460544972650003e-09 1.450303884568273e-10 5.662658983158612e-12
-7.475 2.225 2.91343865342059e-09 2.923400072794434e-10 1.141634347923445e-11
-7.475 2.275 5.8763201748262556e-09 5.899996633084044e-10 2.3045638509369937e-11
-7.475 2.325 1.1866738972087177e-08 1.192375029525143e-09 4.6588059985064603e-11
-7.475 2.375 2.3995761097150065e-08 2.4134707917595736e-09 9.433274969920973e-11
-7.475 2.425 4.859235455774849e-08 4.893477125526789e-09 1.9135512145957185e-10
-7.475 2.475 9.85566619504823e-08 9.940910872689296e-09 3.8896129457157e-10
-7.475 2.525 2.002363032641562e-07 2.023782386560759e-08 7.924522192618948e-10
-7.475 2.575 4.0755875417453745e-07 4.1298675721598244e-08 1.6186998760581648e-09
-7.475 2.625 8.311405032231593e-07 8.45004520803426e-08 3.316108111451969e-09
-7.475 2.675 1.6983675274745502e-06 1.7340393976556661e-07 6.815870544324088e-09
-7.475 2.725 3.477617152043964e-06 3.5700375977872176e-07 1.4061340608230742e-08
-7.475 2.775 7.1354195371042625e-06 7.376447350177762e-07 2.913073918251247e-08
-7.475 2.825 1.4669075375735452e-05 1.5301622527841406e-06 6.063591289035467e-08
-7.475 2.875 3.0208995873570237e-05 3.1878982348459997e-06 1.26890117863214e-07
-7.475 2.925 6.229465456687753e-05 6.672836519838232e-06 2.6714504165042534e-07
-7.475 2.975 0.0001285509024737725 1.4038231317229845e-05 5.662801272438337e-07
-7.475 3.025 0.00026521744231210957 2.9692784852619788e-05 1.2096830375692364e-06
-7.475 3.075 0.0005463199977804769 6.315902084879078e-05 2.606839263532247e-06
-7.475 3.125 0.0011215098977830264 0.00013512063448799965 5.673743598188649e-06
-7.475 3.175 0.002288748332550738 0.0002907249235276416 1.2488877245462447e-05
-7.475 3.225 0.004628807147350752 0.0006288788207483616 2.784516049438332e-05
-7.475 3.275 0.009242262959335506 0.0013666447969362127 6.299849554245891e-05
-7.475 3.325 0.018142888567808293 0.002979950882555003 0.00014493645444572546
-7.475 3.375 0.034871484841292544 0.006507808663957409 0.00033991398954594124
-7.475 3.425 0.06541934328721483 0.014200442453769689 0.0008150554489686099
-7.475 3.475 0.11968036636240056 0.030879021516239596 0.0020052293404935087
-7.475 3.525 0.21412257348330305 0.06676601278188454 0.0050826873875938075
-7.475 3.575 0.3776365971009185 0.14344806206596245 0.01333260063389489
-7.475 3.625 0.6653582844207186 0.3069196448553591 0.03632929668709811
-7.475 3.675 1.1911418720761828 0.6573976621217178 0.10287558638752169
-7.475 3.725 2.200552191561982 1.4179958445647842 0.30048709550718505
-7.475 3.775 4.217235937259387 3.0793497074737486 0.8856593943264938
-7.475 3.825 8.132402631418088 6.52548142364361 2.4882475186003514
-7.475 3.875 0.0 0.0 0.0
-7.475 3.925 0.0 0.0 0.0
-7.475 3.975 0.0 0.0 0.0
-7.425 -1.975 0.0 0.0 0.0
-7.425 -1.925 0.0 0.0 0.0
-7.425 -1.875 0.0 0.0 0.0
-7.425 -1.825 0.0 0.0 0.0
-7.425 -1.775 0.0 0.0 0.0
-7.425 -1.725 0.0 0.0 0.0
-7.425 -1.675 0.0 0.0 0.0
-7.425 -1.625 0.0 0.0 0.0
-7.425 -1.575 0.0 0.0 0.0
-7.425 -1.525 0.0 0.0 0.0
-7.425 -1.475 0.0 0.0 0.0
-7.425 -1.425 0.0 0.0 0.0
-7.425 -1.375 0.0 0.0 0.0
-7.425 -1.325 0.0 0.0 0.0
-7.425 -1.275 0.0 0.0 0.0
-7.425 -1.225 0.0 0.0 0.0
-7.425 -1.175 0.0 0.0 0.0
-7.425 -1.125 0.0 0.0 0.0
-7.425 -1.075 0.0 0.0 0.0
-7.425 -1.025 0.0 0.0 0.0
-7.425 -0.975 0.0 0.0 0.0
-7.425 -0.925 0.0 0.0 0.0
-7.425 -0.875 0.0 0.0 0.0
-7.425 -0.825 0.0 0.0 0.0
-7.425 -0.775 0.0 0.0 0.0
-7.425 -0.725 0.0 0.0 0.0
-7.425 -0.675 0.0 0.0 0.0
-7.425 -0.625 0.0 0.0 0.0
-7.425 -0.575 0.0 0.0 0.0
-7.425 -0.525 0.0 0.0 0.0
-7.425 -0.475 0.0 0.0 0.0
-7.425 -0.425 0.0 0.0 0.0
-7.425 -0.375 0.0 0.0 0.0
-7.425 -0.325 0.0 0.0 0.0
-7.425 -0.275 0.0 0.0 0.0
-7.425 -0.225 0.0 0.0 0.0
-7.425 -0.175 0.0 0.0 0.0
-7.425 -0.125 0.0 0.0 0.0
-7.425 -0.075 0.0 0.0 0.0
-7.425 -0.025 0.0 0.0 0.0
-7.425 0.025 0.0 0.0 0.0
-7.425 0.075 0.0 0.0 0.0
-7.425 0.125 0.0 0.0 0.0
-7.425 0.175 0.0 0.0 0.0
-7.425 0.225 0.0 0.0 0.0
-7.425 0.275 0.0 0.0 0.0
-7.425 0.325 0.0 0.0 0.0
-7.425 0.375 0.0 0.0 0.0
-7.425 0.425 0.0 0.0 0.0
-7.425 0.475 0.0 0.0 0.0
-7.425 0.525 0.0 0.0 0.0
-7.425 0.575 0.0 0.0 0.0
-7.425 0.625 0.0 0.0 0.0
-7.425 0.675 0.0 0.0 0.0
-7.425 0.725 0.0 0.0 0.0
-7.425 0.775 0.0 0.0 0.0
-7.425 0.825 0.0 0.0 0.0
-7.425 0.875 0.0 0.0 0.0
-7.425 0.925 5.3278161873910384e-17 5.333861368920703e-18 2.0811938639991099e-19
-7.425 0.975 1.0636525048265154e-16 1.0648608886194298e-17 4.1549319819664927e-19
-7.425 1.025 2.1236393861384618e-16 2.1260558003046474e-17 8.29556537940444e-19
-7.425 1.075 4.2402936905999574e-16 4.245128155592944e-17 1.6563896246966479e-18
-7.425 1.125 8.467386845801836e-16 8.477064835087145e-17 3.307635614088533e-18
-7.425 1.175 1.6910085171597768e-15 1.6929473587687988e-16 6.605659550265517e-18
-7.425 1.225 3.3774606967453722e-15 3.3813484188106388e-16 1.3193602156946852e-17
-7.425 1.275 6.746658587046776e-15 6.754462934805739e-16 2.6355132320783014e-17
-7.425 1.325 1.3478686732554276e-14 1.349437521192731e-15 5.265362981973029e-17
-7.425 1.375 2.6932341331767356e-14 2.696393267925832e-15 1.0521077636191038e-16
-7.425 1.425 5.38240595373048e-14 5.3887807998540385e-15 2.1026614165248173e-16
-7.425 1.475 1.0758796251969475e-13 1.0771693385786116e-14 4.2030555027394534e-16
-7.425 1.525 2.1510274613868554e-13 2.1536449727706828e-14 8.403460680043017e-16
-7.425 1.575 4.301645271735015e-13 4.3069780496955626e-14 1.6805846762788115e-15
-7.425 1.625 8.604828912921761e-13 8.615744269417562e-14 3.3619030286412765e-15
-7.425 1.675 1.7218011064582607e-12 1.7240478141403628e-13 6.727404548045926e-15
-7.425 1.725 3.4464542436852145e-12 3.4511094400877755e-13 1.346679840900233e-14
-7.425 1.775 6.901258674817816e-12 6.910979848375143e-13 2.6968362712051288e-14
